Mapping parameters for Rhincodon typus (Whale shark)

"Cite AquaMaps itself as: Kaschner, K., Kesner-Reyes, K., Garilao, C., Segschneider, J., Rius-Barile, J. Rees, T., & Froese, R. (2019, October). AquaMaps: Predicted range maps for aquatic species. Retrieved from https://www.aquamaps.org."



Occurrence cells used for creating environmental envelope (n = 1215)
Genus,Species,Center Lat,Center Long,C-Square,Depth (m),Surface Water Temp. (°C),Bottom Water Temp. (°C),Surface Salinity (psu),Bottom Salinity (psu),Primary Production (mgC·m-3·day-1),Sea Ice Concentration (0-1 fraction),Dissolved Bottom Oxygen (mmol·m-3),Distance to Land (km)
Rhincodon,typus,-29.25,31.25,3203:391:1,18,23.5244770050049,22.522533416748,35.2037315368652,35.3808135986328,22.7523911744356,0,201.105041503906,4
Rhincodon,typus,-29.25,31.75,3203:391:2,74,23.4186172485352,23.4698867797852,35.2282104492188,35.3903160095215,26.7570000141859,0,199.785339355469,22
Rhincodon,typus,-29.25,114.75,3211:394:2,29,21.4735717773438,21.6934871673584,35.2899169921875,35.5095100402832,1.8469999777153099,0,220.090087890625,22
Rhincodon,typus,-28.75,32.25,3203:382:3,248,24.1623344421387,22.6297130584717,35.2522010803223,35.3859100341797,27.9140006750822,0,191.236557006836,17
Rhincodon,typus,-28.75,80.75,3208:380:4,4140,21.2253189086914,0.960747003555298,35.9270477294922,34.7233467102051,1.5999999595806,0,204.581619262695,1088
Rhincodon,typus,-28.75,113.75,3211:383:4,306,22.41552734375,22.096508026123,35.3182525634766,35.4881896972656,2.13799998164177,0,218.443420410156,104
Rhincodon,typus,-28.25,32.75,3203:382:2,872,24.6329288482666,4.83337688446045,35.2311859130859,34.5665893554688,21.144000813365,0,143.591323852539,24
Rhincodon,typus,-28.25,-48.25,5204:488:1,70,21.7681484222412,18.7098140716553,35.599437713623,36.2294616699219,6.31800014525652,0,198.773147583008,73
Rhincodon,typus,-28.25,-90.75,5209:380:2,3218,20.2701015472412,1.44435596466064,35.3586692810059,34.6830177307129,0.32600000849925,0,167.754837036133,1158
Rhincodon,typus,-28.25,-95.75,5209:485:2,3513,20.8307495117188,1.31936895847321,35.5822906494141,34.6843566894531,0.171000006957911,0,174.479598999023,1014
